city_id,city_name,country,latitude,longitude
4,Hà Nội,VN,21.0245,105.8412
6,Đà Nẵng,VN,16.0678,108.2208
11,Thành phố Hồ Chí Minh,VN,10.75,106.6667
14,Hải Phòng,VN,20.8561,106.6822
16,Cần Thơ,VN,10.0333,105.7833
17,An Giang,VN,10.5,105.1667
18,Ba Ria,VN,10.4963,107.1688
19,Bac Giang,VN,21.2667,106.2
20,Bac Kan,VN,22.1333,105.8333
21,Thành Phố Bạc Liêu,VN,9.285,105.7244
22,Bắc Ninh,VN,21.1833,106.05
23,Ben Tre,VN,10.2333,106.3833
30,Vũng Tàu,VN,10.346,107.0843
36,Quy Nhơn,VN,13.7667,109.2333
37,Thu Dau Mot,VN,10.9667,106.65
38,Đồng Xoài,VN,11.5333,106.9167
39,Phan Thiết,VN,10.9333,108.1
40,Ca Mau,VN,9.1769,105.15
41,Thành Phố Cao Bằng,VN,22.6667,106.25
42,Buôn Ma Thuột,VN,12.6667,108.05
62,Điện Biên Phủ,VN,21.3833,103.0167
63,Bien Hoa,VN,10.95,106.8167
64,Cao Lanh,VN,10.45,105.6333
65,Plây Cu,VN,13.9833,108.0
66,Ha Giang,VN,22.8333,104.9833
67,Thành Phố Phủ Lý,VN,20.5411,105.9139
68,Ha Tinh,VN,18.3333,105.9
69,Thành Phố Hải Dương,VN,20.9333,106.3167
70,Vi Thanh,VN,9.7835,105.4672
71,Thành Phố Hòa Bình,VN,20.8133,105.3383
72,Hung Yen,VN,20.65,106.0667
73,Nha Trang,VN,12.25,109.1833
74,Rach Gia,VN,10.0167,105.0833
75,Kon Tum,VN,14.35,108.0
76,Lai Chau,VN,22.3997,103.4517
77,Ðà Lạt,VN,11.9465,108.4419
78,Thành Phố Lạng Sơn,VN,21.8333,106.7333
79,Lao Cai,VN,22.4833,103.95
80,Tan An,VN,10.5333,106.4167
81,Thành Phố Nam Định,VN,20.4167,106.1667
82,Vinh,VN,18.6667,105.6667
83,Thành Phố Ninh Bình,VN,20.2539,105.975
84,Phan Rang-Thap Cham,VN,11.5667,108.9833
85,Viet Tri,VN,21.3019,105.4308
86,Thành phố Tuy Hòa,VN,13.0833,109.3
87,Đồng Hới,VN,17.4833,106.6
88,Tam Ky,VN,15.5667,108.4833
89,Thành phố Quảng Ngãi,VN,15.1167,108.8
90,Thành Phố Hạ Long,VN,20.9511,107.08
91,Dong Ha,VN,16.8163,107.1003
92,Soc Trang,VN,9.6033,105.98
93,Thành Phố Sơn La,VN,21.3167,103.9
94,Tay Ninh,VN,11.3,106.1
95,Thành Phố Thái Bình,VN,20.45,106.3333
96,Thành Phố Thái Nguyên,VN,21.5928,105.8442
97,Thanh Hóa,VN,19.8,105.7667
98,Huế,VN,16.4667,107.6
99,Mỹ Tho,VN,10.35,106.35
100,Tra Vinh,VN,9.9347,106.3453
101,Tuyên Quang,VN,21.8233,105.2181
102,Vinh Long,VN,10.25,105.9667
103,Vinh Yen,VN,21.31,105.5967
104,Yen Bai,VN,21.7,104.8667
