id,city_id,dt,temperature,feels_like,humidity,weather_desc,wind_speed,visibility,collected_at
1,4,1759626000,26.43,26.43,86,mây thưa,1.41,10000,2025-10-04 22:46:58.474042
2,4,1759636800,25.66,26.55,87,mây rải rác,1.57,10000,2025-10-04 22:46:58.545378
3,4,1759647600,26.23,26.23,85,mây rải rác,2.44,10000,2025-10-04 22:46:58.623788
4,4,1759658400,30.89,36.17,66,mây thưa,4.22,10000,2025-10-04 22:46:58.691947
5,4,1759669200,34.24,38.92,50,mây thưa,3.5,10000,2025-10-04 22:46:58.764155
6,4,1759680000,34.01,38.41,50,mây rải rác,2.53,10000,2025-10-04 22:46:58.831636
7,4,1759690800,28.67,31.69,68,mây cụm,2.4,10000,2025-10-04 22:46:58.899597
8,4,1759701600,27.94,30.68,71,mây đen u ám,2.95,10000,2025-10-04 22:46:58.978749
9,11,1759626000,26.85,30.12,88,mây đen u ám,1.68,10000,2025-10-04 22:46:59.217864
10,11,1759636800,26.44,26.44,90,mây đen u ám,0.63,10000,2025-10-04 22:46:59.295976
11,11,1759647600,27.6,32.21,88,mây đen u ám,1.4,10000,2025-10-04 22:46:59.369637
12,11,1759658400,30.79,34.89,62,mây đen u ám,2.82,10000,2025-10-04 22:46:59.433211
13,11,1759669200,26.63,26.63,50,mây đen u ám,4.53,10000,2025-10-04 22:46:59.501460
14,11,1759680000,30.29,33.83,62,mây đen u ám,3.77,10000,2025-10-04 22:46:59.561783
15,11,1759690800,26.94,29.17,75,mưa nhẹ,4.72,10000,2025-10-04 22:46:59.627087
16,11,1759701600,25.88,26.74,85,mây đen u ám,2.5,10000,2025-10-04 22:46:59.697687
17,14,1759626000,27.46,32.08,90,mây rải rác,1.46,10000,2025-10-04 22:46:59.954600
18,14,1759636800,26.32,26.32,93,mây rải rác,2.64,10000,2025-10-04 22:47:00.022542
19,14,1759647600,27.25,31.46,90,mây rải rác,3.08,10000,2025-10-04 22:47:00.088760
20,14,1759658400,31.4,37.13,65,mây thưa,4.45,10000,2025-10-04 22:47:00.157914
21,14,1759669200,34.99,41.45,52,mây thưa,4.85,10000,2025-10-04 22:47:00.221330
22,14,1759680000,29.88,34.29,68,mưa nhẹ,4.13,10000,2025-10-04 22:47:00.285071
23,14,1759690800,27.83,30.22,69,mây đen u ám,4.04,10000,2025-10-04 22:47:00.353550
24,14,1759701600,27.1,29.29,73,mây đen u ám,4.82,10000,2025-10-04 22:47:00.414660
25,6,1759626000,26.56,26.56,88,mây đen u ám,2.15,10000,2025-10-04 22:47:00.640335
26,6,1759636800,25.53,26.36,85,mây đen u ám,2.39,10000,2025-10-04 22:47:00.711619
27,6,1759647600,25.81,26.56,81,mây đen u ám,2.64,10000,2025-10-04 22:47:00.774241
28,6,1759658400,30.87,37.87,73,mây đen u ám,2.63,10000,2025-10-04 22:47:00.840145
29,6,1759669200,31.88,38.88,72,mây đen u ám,3.46,10000,2025-10-04 22:47:00.902101
30,6,1759680000,28.24,31.89,75,mưa nhẹ,2.12,10000,2025-10-04 22:47:00.967282
31,6,1759690800,27.56,31.15,81,mây đen u ám,4.32,10000,2025-10-04 22:47:01.030918
32,6,1759701600,26.78,29.59,84,mây đen u ám,4.16,10000,2025-10-04 22:47:01.094886
497,4,1759712400,28.25,31.76,74,mây đen u ám,2.09,10000,2025-10-05 09:48:38.090568
503,4,1759777200,24.57,25.38,88,mây đen u ám,2.34,10000,2025-10-05 09:48:38.626142
49,30,1759626000,26.97,29.77,81,mưa nhẹ,4.51,10000,2025-10-04 22:47:02.904501
50,30,1759636800,26.41,26.41,84,mưa nhẹ,3.84,10000,2025-10-04 22:47:02.976701
51,30,1759647600,27.08,30.02,81,mưa nhẹ,3.24,10000,2025-10-04 22:47:03.044001
52,30,1759658400,29.27,33.94,73,mây cụm,3.83,10000,2025-10-04 22:47:03.224582
53,30,1759669200,27.2,29.11,69,mây đen u ám,3.52,10000,2025-10-04 22:47:03.292983
54,30,1759680000,28.35,32.14,75,mưa nhẹ,6.67,10000,2025-10-04 22:47:03.357550
55,30,1759690800,27.97,31.43,76,mưa vừa,7.47,10000,2025-10-04 22:47:03.548223
56,30,1759701600,28.47,32.42,75,mưa nhẹ,7.07,10000,2025-10-04 22:47:03.631122
498,4,1759723200,25.74,26.64,87,mưa nhẹ,2.9,10000,2025-10-05 09:48:38.163154
504,4,1759788000,24.18,25.03,91,mưa nhẹ,0.95,10000,2025-10-05 09:48:38.694322
81,22,1759626000,26.47,26.47,87,mây thưa,0.99,10000,2025-10-04 22:47:06.096271
82,22,1759636800,25.64,26.61,90,mây rải rác,1.6,10000,2025-10-04 22:47:06.168433
83,22,1759647600,26.41,26.41,86,mây thưa,2.62,10000,2025-10-04 22:47:06.239432
84,22,1759658400,31.11,36.42,65,mây thưa,4.32,10000,2025-10-04 22:47:06.302986
85,22,1759669200,34.62,39.42,49,mây thưa,3.54,10000,2025-10-04 22:47:06.371020
86,22,1759680000,32.48,37.26,57,mây cụm,5.73,10000,2025-10-04 22:47:06.436498
87,22,1759690800,28.29,31.09,69,mây đen u ám,3.48,10000,2025-10-04 22:47:06.502125
88,22,1759701600,27.71,30.23,71,mây đen u ám,4.22,10000,2025-10-04 22:47:06.563888
89,23,1759626000,26.0,26.0,94,mây đen u ám,1.33,10000,2025-10-04 22:47:06.787716
90,23,1759636800,25.57,26.64,94,mây đen u ám,0.89,10000,2025-10-04 22:47:06.854049
91,23,1759647600,26.52,26.52,92,mây đen u ám,1.43,10000,2025-10-04 22:47:06.917410
92,23,1759658400,30.91,34.9,61,mây cụm,2.49,10000,2025-10-04 22:47:06.979991
93,23,1759669200,28.85,29.83,53,mây đen u ám,3.06,10000,2025-10-04 22:47:07.042937
94,23,1759680000,28.01,31.24,74,mưa nhẹ,2.67,10000,2025-10-04 22:47:07.113339
95,23,1759690800,25.17,26.14,92,mưa nhẹ,1.92,10000,2025-10-04 22:47:07.180853
96,23,1759701600,24.68,25.68,95,mây đen u ám,1.43,10000,2025-10-04 22:47:07.273538
137,41,1759626000,23.62,24.54,96,bầu trời quang đãng,0.77,10000,2025-10-04 22:47:11.880166
138,41,1759636800,23.09,23.99,97,mây rải rác,1.13,10000,2025-10-04 22:47:11.951931
139,41,1759647600,24.4,25.25,90,mây rải rác,1.31,10000,2025-10-04 22:47:12.125896
140,41,1759658400,31.4,35.18,58,bầu trời quang đãng,0.68,10000,2025-10-04 22:47:12.200101
141,41,1759669200,33.04,36.37,50,mây thưa,2.28,10000,2025-10-04 22:47:12.271593
142,41,1759680000,29.17,33.7,73,mưa nhẹ,2.9,10000,2025-10-04 22:47:12.336109
143,41,1759690800,23.94,24.87,95,mưa nhẹ,1.79,10000,2025-10-04 22:47:12.402499
144,41,1759701600,23.08,23.95,96,mưa nhẹ,1.99,10000,2025-10-04 22:47:12.464537
145,42,1759626000,21.42,22.18,98,mưa nhẹ,1.41,6097,2025-10-04 22:47:12.746547
146,42,1759636800,21.07,21.82,99,mưa nhẹ,1.36,10000,2025-10-04 22:47:12.818915
147,42,1759647600,21.2,21.91,97,mưa nhẹ,1.29,10000,2025-10-04 22:47:12.883459
148,42,1759658400,23.87,24.61,88,mây đen u ám,0.95,10000,2025-10-04 22:47:12.948864
149,42,1759669200,25.48,26.15,79,mây đen u ám,0.54,10000,2025-10-04 22:47:13.014280
150,42,1759680000,23.31,24.15,94,mây đen u ám,1.71,10000,2025-10-04 22:47:13.074720
151,42,1759690800,21.82,22.62,98,mưa nhẹ,1.15,10000,2025-10-04 22:47:13.135643
152,42,1759701600,21.07,21.79,98,mưa nhẹ,1.23,8719,2025-10-04 22:47:13.207071
499,4,1759734000,25.32,26.23,89,mưa nhẹ,1.89,10000,2025-10-05 09:48:38.233901
233,72,1759626000,26.43,26.43,88,mây rải rác,0.62,10000,2025-10-04 22:47:21.736720
234,72,1759636800,25.56,26.55,91,mây rải rác,1.64,10000,2025-10-04 22:47:21.818693
235,72,1759647600,26.31,26.31,88,mây rải rác,2.54,10000,2025-10-04 22:47:21.885863
236,72,1759658400,31.09,36.37,65,mây thưa,4.23,10000,2025-10-04 22:47:21.961115
237,72,1759669200,34.27,39.35,51,mây thưa,4.68,10000,2025-10-04 22:47:22.031012
238,72,1759680000,32.48,37.58,58,mây cụm,2.7,10000,2025-10-04 22:47:22.100480
239,72,1759690800,28.02,31.4,75,mây cụm,2.01,10000,2025-10-04 22:47:22.172876
240,72,1759701600,27.32,30.02,76,mây đen u ám,2.84,10000,2025-10-04 22:47:22.262261
241,73,1759626000,25.57,26.4,85,mưa nhẹ,2.63,10000,2025-10-04 22:47:22.530722
242,73,1759636800,25.13,26.0,88,mây đen u ám,2.63,10000,2025-10-04 22:47:22.602764
243,73,1759647600,26.68,29.59,87,mây đen u ám,2.45,10000,2025-10-04 22:47:22.683742
244,73,1759658400,30.03,36.12,74,mây đen u ám,0.71,10000,2025-10-04 22:47:22.763801
245,73,1759669200,29.94,35.63,73,mây đen u ám,1.17,10000,2025-10-04 22:47:22.839277
