id,city,json_data,collected_at
9,Hanoi,"{'dt': 1759326150, 'id': 1581130, 'cod': 200, 'sys': {'sunset': 1759315502, 'country': 'VN', 'sunrise': 1759272454}, 'base': 'stations', 'main': {'temp': 24.85, 'humidity': 89, 'pressure': 1012, 'temp_max': 24.85, 'temp_min': 24.85, 'sea_level': 1012, 'feels_like': 25.71, 'grnd_level': 1011}, 'name': 'Hà Nội', 'wind': {'deg': 146, 'gust': 7.62, 'speed': 3.12}, 'coord': {'lat': 21.0245, 'lon': 105.8412}, 'clouds': {'all': 99}, 'weather': [{'id': 804, 'icon': '04n', 'main': 'Clouds', 'description': 'mây đen u ám'}], 'timezone': 25200, 'visibility': 10000}",2025-10-01 20:49:08.742014
10,Hanoi,"{'dt': 1759326751, 'id': 1581130, 'cod': 200, 'sys': {'sunset': 1759315502, 'country': 'VN', 'sunrise': 1759272454}, 'base': 'stations', 'main': {'temp': 24.84, 'humidity': 89, 'pressure': 1012, 'temp_max': 24.84, 'temp_min': 24.84, 'sea_level': 1012, 'feels_like': 25.7, 'grnd_level': 1011}, 'name': 'Hà Nội', 'wind': {'deg': 146, 'gust': 7.62, 'speed': 3.12}, 'coord': {'lat': 21.0245, 'lon': 105.8412}, 'clouds': {'all': 99}, 'weather': [{'id': 804, 'icon': '04n', 'main': 'Clouds', 'description': 'mây đen u ám'}], 'timezone': 25200, 'visibility': 10000}",2025-10-01 21:02:48.668636
11,Danang,"{'dt': 1759329901, 'id': 1583992, 'cod': 200, 'sys': {'sunset': 1759314997, 'country': 'VN', 'sunrise': 1759271816}, 'base': 'stations', 'main': {'temp': 27.56, 'humidity': 82, 'pressure': 1013, 'temp_max': 27.56, 'temp_min': 27.56, 'sea_level': 1013, 'feels_like': 31.28, 'grnd_level': 1008}, 'name': 'Đà Nẵng', 'wind': {'deg': 175, 'gust': 2.65, 'speed': 2.26}, 'coord': {'lat': 16.0678, 'lon': 108.2208}, 'clouds': {'all': 92}, 'weather': [{'id': 804, 'icon': '04n', 'main': 'Clouds', 'description': 'mây đen u ám'}], 'timezone': 25200, 'visibility': 10000}",2025-10-01 21:47:18.190460
12,Hanoi,"{'dt': 1759376144, 'id': 1581130, 'cod': 200, 'sys': {'sunset': 1759401846, 'country': 'VN', 'sunrise': 1759358870}, 'base': 'stations', 'main': {'temp': 31.15, 'humidity': 64, 'pressure': 1012, 'temp_max': 31.15, 'temp_min': 31.15, 'sea_level': 1012, 'feels_like': 36.24, 'grnd_level': 1012}, 'name': 'Hà Nội', 'wind': {'deg': 162, 'gust': 4.72, 'speed': 3.85}, 'coord': {'lat': 21.0245, 'lon': 105.8412}, 'clouds': {'all': 100}, 'weather': [{'id': 804, 'icon': '04d', 'main': 'Clouds', 'description': 'mây đen u ám'}], 'timezone': 25200, 'visibility': 10000}",2025-10-02 10:46:56.207889
13,Danang,"{'dt': 1759376624, 'id': 1583992, 'cod': 200, 'sys': {'sunset': 1759401351, 'country': 'VN', 'sunrise': 1759358223}, 'base': 'stations', 'main': {'temp': 30.12, 'humidity': 66, 'pressure': 1013, 'temp_max': 30.12, 'temp_min': 30.12, 'sea_level': 1013, 'feels_like': 34.37, 'grnd_level': 1008}, 'name': 'Đà Nẵng', 'wind': {'deg': 58, 'gust': 1.19, 'speed': 1.99}, 'coord': {'lat': 16.0678, 'lon': 108.2208}, 'clouds': {'all': 8}, 'weather': [{'id': 800, 'icon': '01d', 'main': 'Clear', 'description': 'bầu trời quang đãng'}], 'timezone': 25200, 'visibility': 10000}",2025-10-02 10:46:56.450298
14,Hanoi,"{'dt': 1759457438, 'id': 1581130, 'cod': 200, 'sys': {'sunset': 1759488191, 'country': 'VN', 'sunrise': 1759445286}, 'base': 'stations', 'main': {'temp': 28.69, 'humidity': 77, 'pressure': 1013, 'temp_max': 28.69, 'temp_min': 28.69, 'sea_level': 1013, 'feels_like': 33.31, 'grnd_level': 1012}, 'name': 'Hà Nội', 'wind': {'deg': 138, 'gust': 3.01, 'speed': 2.14}, 'coord': {'lat': 21.0245, 'lon': 105.8412}, 'clouds': {'all': 39}, 'weather': [{'id': 802, 'icon': '03d', 'main': 'Clouds', 'description': 'mây rải rác'}], 'timezone': 25200, 'visibility': 10000}",2025-10-03 09:17:03.764656
15,Danang,"{'dt': 1759457143, 'id': 1583992, 'cod': 200, 'sys': {'sunset': 1759487704, 'country': 'VN', 'sunrise': 1759444630}, 'base': 'stations', 'main': {'temp': 29.8, 'humidity': 69, 'pressure': 1013, 'temp_max': 29.8, 'temp_min': 29.8, 'sea_level': 1013, 'feels_like': 34.33, 'grnd_level': 1008}, 'name': 'Đà Nẵng', 'wind': {'deg': 351, 'gust': 1.22, 'speed': 0.67}, 'coord': {'lat': 16.0678, 'lon': 108.2208}, 'clouds': {'all': 12}, 'weather': [{'id': 801, 'icon': '02d', 'main': 'Clouds', 'description': 'mây thưa'}], 'timezone': 25200, 'visibility': 10000}",2025-10-03 09:17:07.801103
16,Ho Chi Minh,"{'dt': 1759459604, 'id': 1566083, 'cod': 200, 'sys': {'sunset': 1759488165, 'country': 'VN', 'sunrise': 1759444915}, 'base': 'stations', 'main': {'temp': 30.91, 'humidity': 70, 'pressure': 1011, 'temp_max': 30.91, 'temp_min': 30.91, 'sea_level': 1011, 'feels_like': 37.36, 'grnd_level': 1012}, 'name': 'Thành phố Hồ Chí Minh', 'wind': {'deg': 177, 'gust': 2.15, 'speed': 1.94}, 'coord': {'lat': 10.75, 'lon': 106.6667}, 'clouds': {'all': 100}, 'weather': [{'id': 804, 'icon': '04d', 'main': 'Clouds', 'description': 'mây đen u ám'}], 'timezone': 25200, 'visibility': 10000}",2025-10-03 09:49:04.866321
17,"Hanoi,VN","{'dt': 1759459880, 'id': 1581130, 'cod': 200, 'sys': {'sunset': 1759488191, 'country': 'VN', 'sunrise': 1759445286}, 'base': 'stations', 'main': {'temp': 29.95, 'humidity': 63, 'pressure': 1013, 'temp_max': 29.95, 'temp_min': 29.95, 'sea_level': 1013, 'feels_like': 33.35, 'grnd_level': 1012}, 'name': 'Hà Nội', 'wind': {'deg': 152, 'gust': 2.78, 'speed': 2.18}, 'coord': {'lat': 21.0245, 'lon': 105.8412}, 'clouds': {'all': 47}, 'weather': [{'id': 802, 'icon': '03d', 'main': 'Clouds', 'description': 'mây rải rác'}], 'timezone': 25200, 'visibility': 10000}",2025-10-03 09:52:51.260227
18,"Ho Chi Minh City,VN","{'dt': 1759459302, 'id': 1566083, 'cod': 200, 'sys': {'sunset': 1759488165, 'country': 'VN', 'sunrise': 1759444915}, 'base': 'stations', 'main': {'temp': 30.59, 'humidity': 73, 'pressure': 1012, 'temp_max': 30.59, 'temp_min': 30.59, 'sea_level': 1012, 'feels_like': 37.37, 'grnd_level': 1012}, 'name': 'Thành phố Hồ Chí Minh', 'wind': {'deg': 177, 'gust': 2.15, 'speed': 1.94}, 'coord': {'lat': 10.75, 'lon': 106.6667}, 'clouds': {'all': 100}, 'weather': [{'id': 804, 'icon': '04d', 'main': 'Clouds', 'description': 'mây đen u ám'}], 'timezone': 25200, 'visibility': 10000}",2025-10-03 09:52:51.600756
